ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Download 1 ID","Download 1 name","Download 1 URL"
651,variable,24-CSIK-123,,1.A-318_Foto,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Downloadable TEST",Osztályfotó,,https://sulifotok.hu/wp-content/uploads/wis/173384806867586c04863bb.webp,,,,,,,,,0,,"Select Product","kicsi, közepes, nagy, Digitális",1,0,,,
1317,variable,24-CSIK-275,,12.A-463,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Downloadable TEST",,,https://sulifotok.hu/wp-content/uploads/wis/174112399967c7719f01bcf.webp,,,,,,,,,0,,"Select Product","kicsi, kozepes, nagy, Digitális",1,0,,,
1322,variable,24-CSIK-221,,12.A-480,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Downloadable TEST",,,https://sulifotok.hu/wp-content/uploads/wis/174112406967c771e55db65.webp,,,,,,,,,0,,"Select Product","kicsi, kozepes, nagy",1,0,,,
1328,variable,24-CSIK-1232,,12.A-488,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Downloadable TEST",,,https://sulifotok.hu/wp-content/uploads/wis/174112413567c7722749086.webp,,,,,,,,,0,,"Select Product","kicsi, kozepes, nagy",1,0,,,
1283,"variation, downloadable, virtual",,,"1.A-318_Foto - Digitális",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1200,,,,,-1,-1,24-CSIK-123,,,,,,0,,"Select Product",Digitális,,0,file,1.A-318_Foto.jpeg,https://sulifotok.hu/wp-content/uploads/images/1.A-318_Foto.jpeg
653,"variation, downloadable, virtual",,,"1.A-318_Foto - közepes",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,200,,,,,,-1,24-CSIK-123,,,,,,2,,"Select Product",közepes,,0,ce5134850bfd47ca3e0a65f914705c11,Közepes,https://sulifotok.hu/wp-content/uploads/wis/173384806867586c046dd7c.jpg
654,"variation, downloadable, virtual",,,"1.A-318_Foto - nagy",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,300,,,,,,-1,24-CSIK-123,,,,,,1,,"Select Product",nagy,,0,0670466c1ffdc7c1c28479014b6daba9,Nagy,https://sulifotok.hu/wp-content/uploads/wis/173384809167586c1b819e5.jpg
652,"variation, downloadable, virtual",,,"1.A-318_Foto - kicsi",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,,-1,24-CSIK-123,,,,,,3,,"Select Product",kicsi,,0,ce5134850bfd47ca3e0a65f914705c11,Kicsi,https://sulifotok.hu/wp-content/uploads/wis/173384806867586c046dd7c.jpg
1332,"variation, downloadable, virtual",,,"12.A-463 - Digitális",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1200,,,,,-1,-1,24-CSIK-275,,,,,,0,,"Select Product",Digitális,,0,file,12.A-463.jpg,https://sulifotok.hu/wp-content/uploads/images/12.A-463-scaled.jpg
1320,"variation, downloadable, virtual",,,"12.A-463 - nagy",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1000,,,,,,-1,24-CSIK-275,,,,,,0,,"Select Product",nagy,,0,cceea0d571d9a5052410aeafa33a586b,Nagy,https://sulifotok.hu/wp-content/uploads/wis/174112406467c771e0548a7.jpg
1318,"variation, downloadable, virtual",,,"12.A-463 - kicsi",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,500,,,,,,-1,24-CSIK-275,,,,,,0,,"Select Product",kicsi,,0,69ca61d40f811191f1a34098b1e05689,Kicsi,https://sulifotok.hu/wp-content/uploads/wis/174112399867c7719e195b7.jpg
1319,"variation, downloadable, virtual",,,"12.A-463 - kozepes",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,700,,,,,,-1,24-CSIK-275,,,,,,0,,"Select Product",kozepes,,0,69ca61d40f811191f1a34098b1e05689,Közepes,https://sulifotok.hu/wp-content/uploads/wis/174112399867c7719e195b7.jpg
1367,"variation, downloadable, virtual",,,12.A-480,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,-1,-1,24-CSIK-221,,,,,,0,,"Select Product",,,0,8761663d-62bf-47ed-bfa3-318956e4149d,12.A-480.jpg,https://sulifotok.hu/wp-content/uploads/images/12.A-480.jpg
1325,"variation, downloadable, virtual",,,"12.A-480 - nagy",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1000,,,,,,-1,24-CSIK-221,,,,,,0,,"Select Product",nagy,,0,cc3bab543ec463b7731296ed83ffa692,Nagy,https://sulifotok.hu/wp-content/uploads/wis/174112413167c772232b660.jpg
1323,"variation, downloadable, virtual",,,"12.A-480 - kicsi",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,500,,,,,,-1,24-CSIK-221,,,,,,0,,"Select Product",kicsi,,0,04fcf457ed61835a2bce9f435e007822,Kicsi,https://sulifotok.hu/wp-content/uploads/wis/174112406867c771e459cf1.jpg
1324,"variation, downloadable, virtual",,,"12.A-480 - kozepes",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,700,,,,,,-1,24-CSIK-221,,,,,,0,,"Select Product",kozepes,,0,04fcf457ed61835a2bce9f435e007822,Közepes,https://sulifotok.hu/wp-content/uploads/wis/174112406867c771e459cf1.jpg
1368,"variation, downloadable, virtual",,,12.A-488,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,-1,-1,24-CSIK-1232,,,,,,0,,"Select Product",,,0,d3e2aaf7-e7d5-4981-bc86-2fccb9fecbfd,12.A-488.jpg,https://sulifotok.hu/wp-content/uploads/images/12.A-488.jpg
1331,"variation, downloadable, virtual",,,"12.A-488 - nagy",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1000,,,,,,-1,24-CSIK-1232,,,,,,3,,"Select Product",nagy,,0,3ab50009a8e3d076a714bf6fde3e0d92,Nagy,https://sulifotok.hu/wp-content/uploads/wis/174112419267c772609529e.jpg
1329,"variation, downloadable, virtual",,,"12.A-488 - kicsi",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,500,,,,,,-1,24-CSIK-1232,,,,,,1,,"Select Product",kicsi,,0,cd589fbe2e72ee2442a250837b1000fc,Kicsi,https://sulifotok.hu/wp-content/uploads/wis/174112413467c7722668372.jpg
1330,"variation, downloadable, virtual",,,"12.A-488 - kozepes",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,700,,,,,,-1,24-CSIK-1232,,,,,,2,,"Select Product",kozepes,,0,cd589fbe2e72ee2442a250837b1000fc,Közepes,https://sulifotok.hu/wp-content/uploads/wis/174112413467c7722668372.jpg
